genome,species_cluster,genus_cluster
NC_020483,39,19
NC_028800,46,6
NC_023005,55,13
NC_011043,43,6
NC_028661,37,18
NC_013647,38,6
NC_028977,40,6
NC_015264,45,2
NC_015719,49,6
NC_028822,22,5
NC_031943,53,1
NC_028863,31,5
NC_024362,54,11
NC_023736,32,15
NC_021062,44,2
NC_028688,34,6
NC_001604,48,4
NC_022744,36,5
NC_011040,50,5
NC_007456,41,1
NC_031258,57,5
NC_023548,29,14
NC_031115,42,0
NC_001271,58,3
NC_015208,51,12
NC_007149,52,7
NC_011534,56,5
NC_031123,30,1
NC_031066,27,3
NC_019510,21,10
NC_031018,26,1
NC_015249,25,5
NC_011042,20,1
NC_028655,33,16
NC_031114,19,4
NC_023576,14,1
NC_027292,15,2
NC_015159,28,7
NC_031092,12,3
NC_028772,35,17
NC_024379,16,1
NC_031937,13,1
NC_023558,47,1
NC_011045,24,4
NC_010807,7,3
NC_027387,18,4
NC_011038,0,5
NC_025451,10,3
NC_028880,17,3
NC_023715,0,5
NC_008694,0,5
NC_019416,9,9
NC_013651,23,7
NC_011085,4,0
NC_015271,11,4
NC_003298,5,3
NC_028702,8,8
NC_004777,3,4
NC_004665,1,11
NC_029102,6,3
NC_028795,2,3
