genome,species_cluster,genus_cluster
NC_020483,31,15
NC_028800,44,6
NC_023005,51,12
NC_011043,41,6
NC_028661,37,18
NC_013647,32,6
NC_028977,38,6
NC_015264,47,4
NC_015719,34,6
NC_028822,42,2
NC_031943,53,1
NC_028863,30,2
NC_024362,54,5
NC_023736,39,19
NC_021062,43,4
NC_028688,40,6
NC_001604,48,3
NC_022744,45,2
NC_011040,50,2
NC_007456,18,1
NC_031258,55,2
NC_023548,29,14
NC_031115,20,0
NC_001271,57,7
NC_015208,35,17
NC_007149,26,13
NC_011534,14,2
NC_031123,15,1
NC_031066,56,7
NC_019510,21,10
NC_031018,52,1
NC_015249,46,2
NC_011042,19,1
NC_028655,33,16
NC_031114,36,3
NC_023576,58,1
NC_027292,16,4
NC_015159,28,13
NC_031092,23,7
NC_028772,17,8
NC_024379,27,1
NC_031937,13,1
NC_023558,25,1
NC_011045,49,3
NC_010807,12,7
NC_027387,8,3
NC_011038,0,2
NC_025451,24,7
NC_028880,22,7
NC_023715,0,2
NC_008694,0,2
NC_019416,9,9
NC_013651,6,13
NC_011085,7,0
NC_015271,10,3
NC_003298,11,7
NC_028702,5,11
NC_004777,3,3
NC_004665,4,5
NC_029102,2,7
NC_028795,1,7
