query	reference	pident	alnlen	qstart	qend	rstart	rend	nt_match	nt_mismatch
NC_025457.alt2	NC_025457.ref	89.2893	999	22119	23117	14207	15163	892	107
NC_025457.alt2	NC_025457.ref	89.8305	826	3373	4198	2202	3020	742	84
NC_025457.alt2	NC_025457.ref	91.0804	796	41697	42492	27680	28475	725	71
NC_025457.alt2	NC_025457.ref	87.2483	745	38039	38783	24969	25688	650	95
NC_025457.alt2	NC_025457.ref	89.8860	702	7269	7970	5077	5778	631	71
NC_025457.alt2	NC_025457.ref	93.2081	692	62572	63263	41329	42020	645	47
NC_025457.alt2	NC_025457.ref	90.9565	575	31121	31695	20438	21003	523	52
NC_025457.alt2	NC_025457.ref	90.6195	565	11476	12040	7999	8563	512	53
NC_025457.alt2	NC_025457.ref	91.6211	549	10905	11453	7455	8003	503	46
NC_025457.alt2	NC_025457.ref	86.7041	534	29624	30157	19067	19586	463	71
NC_025457.alt2	NC_025457.ref	93.5673	513	10149	10661	6915	7427	480	33
NC_025457.alt2	NC_025457.ref	89.3701	508	34017	34524	22188	22695	454	54
NC_025457.alt2	NC_025457.ref	88.0240	501	18330	18830	11549	12049	441	60
NC_025457.alt2	NC_025457.ref	90.4	500	41145	41644	27228	27712	452	48
NC_025457.alt2	NC_025457.ref	92	500	54198	54697	36341	36840	460	40
NC_025457.alt2	NC_025457.ref	95.0413	484	9665	10148	6606	7089	460	24
NC_025457.alt2	NC_025457.ref	92.7813	471	27972	28442	18058	18528	437	34
NC_025457.alt2	NC_025457.ref	87.1179	458	26320	26777	17020	17477	399	59
NC_025457.alt2	NC_025457.ref	91.7960	451	59790	60240	39848	40298	414	37
NC_025457.alt2	NC_025457.ref	97.3333	450	6115	6564	4480	4929	438	12
NC_025457.alt2	NC_025457.ref	90.8884	439	12287	12725	8564	9002	399	40
NC_025457.alt2	NC_025457.ref	87.6712	438	14593	15030	9680	10117	384	54
NC_025457.alt2	NC_025457.ref	89.6789	436	8881	9316	6028	6463	391	45
NC_025457.alt2	NC_025457.ref	92.3077	429	50098	50526	33535	33963	396	33
NC_025457.alt2	NC_025457.ref	88.0562	427	5318	5744	3980	4406	376	51
NC_025457.alt2	NC_025457.ref	88.9930	427	49023	49449	32454	32880	380	47
NC_025457.alt2	NC_025457.ref	88.6792	424	53042	53465	35516	35939	376	48
NC_025457.alt2	NC_025457.ref	90.3073	423	580	1002	388	810	382	41
NC_025457.alt2	NC_025457.ref	94.7619	420	30701	31120	20176	20595	398	22
NC_025457.alt2	NC_025457.ref	94.9761	418	25550	25967	16535	16952	397	21
NC_025457.alt2	NC_025457.ref	84.1727	417	34823	35239	22821	23222	351	66
NC_025457.alt2	NC_025457.ref	96.0976	410	27426	27835	17649	18058	394	16
NC_025457.alt2	NC_025457.ref	90.6404	406	53698	54103	35937	36340	368	38
NC_025457.alt2	NC_025457.ref	88.8325	394	36277	36670	23874	24267	350	44
NC_025457.alt2	NC_025457.ref	88.1748	389	2083	2471	1293	1654	343	46
NC_025457.alt2	NC_025457.ref	95.9677	372	55363	55734	37117	37488	357	15
NC_025457.alt2	NC_025457.ref	94.5205	365	48258	48622	31760	32124	345	20
NC_025457.alt2	NC_025457.ref	89.4150	359	36758	37116	24355	24713	321	38
NC_025457.alt2	NC_025457.ref	88.3008	359	63272	63630	42026	42381	317	42
NC_025457.alt2	NC_025457.ref	78.4314	357	47259	47615	31324	31621	280	77
NC_025457.alt2	NC_025457.ref	96.8300	347	55016	55362	36860	37206	336	11
NC_025457.alt2	NC_025457.ref	95.6647	346	60312	60657	40301	40646	331	15
NC_025457.alt2	NC_025457.ref	95.0725	345	45749	46093	30270	30614	328	17
NC_025457.alt2	NC_025457.ref	91.2281	342	52606	52947	35175	35516	312	30
NC_025457.alt2	NC_025457.ref	87.8049	328	44805	45132	29717	30044	288	40
NC_025457.alt2	NC_025457.ref	91.3846	325	39657	39981	26278	26602	297	28
NC_025457.alt2	NC_025457.ref	90.1235	324	30361	30684	19850	20173	292	32
NC_025457.alt2	NC_025457.ref	91.2773	321	31904	32224	21004	21324	293	28
NC_025457.alt2	NC_025457.ref	99.3711	318	54698	55015	36694	37011	316	2
NC_025457.alt2	NC_025457.ref	87.4598	311	1431	1741	947	1281	272	39
NC_025457.alt2	NC_025457.ref	88.3495	309	19063	19371	12385	12687	273	36
NC_025457.alt2	NC_025457.ref	90.9385	309	46342	46650	30614	30922	281	28
NC_025457.alt2	NC_025457.ref	85.5263	304	24452	24755	15890	16193	260	44
NC_025457.alt2	NC_025457.ref	90.8784	296	40768	41063	26932	27227	269	27
NC_025457.alt2	NC_025457.ref	91.5541	296	59494	59789	39635	39930	271	25
NC_025457.alt2	NC_025457.ref	94.8980	294	58795	59088	39205	39498	279	15
NC_025457.alt2	NC_025457.ref	95.5017	289	4802	5090	3688	3976	276	13
NC_025457.alt2	NC_025457.ref	97.2318	289	19612	19900	12696	12984	281	8
NC_025457.alt2	NC_025457.ref	97.2125	287	20209	20495	13012	13298	279	8
NC_025457.alt2	NC_025457.ref	89.8955	287	25968	26254	16774	17053	258	29
NC_025457.alt2	NC_025457.ref	93.9716	282	35333	35614	23347	23628	265	17
NC_025457.alt2	NC_025457.ref	86.8327	281	32820	33100	21491	21771	244	37
NC_025457.alt2	NC_025457.ref	93.5484	279	61259	61537	40677	40955	261	18
NC_025457.alt2	NC_025457.ref	90.9420	276	21656	21931	13935	14210	251	25
NC_025457.alt2	NC_025457.ref	1e+02	274	47616	47889	38723	38996	274	0
