idx1	idx2	id1	id2	tani	gani	ani	cov	num_alns	len_ratio
0	1	NC_025457.alt2	NC_005091.alt2	0.001494	0.002977	0.532033	0.005595	4	1.007347
1	0	NC_005091.alt2	NC_025457.alt2	0.001494	0	0	0	0	0.992706
0	2	NC_025457.alt2	NC_005091.alt1	0.002508	0.003257	0.585434	0.005564	4	1.116770
2	0	NC_005091.alt1	NC_025457.alt2	0.002508	0.001671	0.545455	0.003063	2	0.895440
0	3	NC_025457.alt2	NC_005091.ref	0.001299	0.001808	0.637363	0.002836	2	1.116770
3	0	NC_005091.ref	NC_025457.alt2	0.001299	0.000731	0.518519	0.001410	1	0.895440
0	4	NC_025457.alt2	NC_002486.alt	0.007605	0.003491	0.541063	0.006452	4	1.405995
4	0	NC_002486.alt	NC_025457.alt2	0.007605	0.013389	0.562615	0.023797	12	0.711240
0	5	NC_025457.alt2	NC_002486.ref	0.005155	0.002774	0.551084	0.005034	3	1.405995
5	0	NC_002486.ref	NC_025457.alt2	0.005155	0.008502	0.555079	0.015317	8	0.711240
0	6	NC_025457.alt2	NC_025457.ref	0.736880	0.639502	0.911601	0.701515	159	1.504290
6	0	NC_025457.ref	NC_025457.alt2	0.736880	0.883364	0.910539	0.970155	120	0.664765
0	7	NC_025457.alt2	NC_025457.alt1	0.549073	0.456767	0.895776	0.509912	163	1.562460
7	0	NC_025457.alt1	NC_025457.alt2	0.549073	0.693299	0.900639	0.769785	147	0.640016
0	8	NC_025457.alt2	NC_010807.alt2	0.004994	0.005860	0.567119	0.010333	7	1.582148
8	0	NC_010807.alt2	NC_025457.alt2	0.004994	0.003625	0.561069	0.006460	3	0.632052
0	9	NC_025457.alt2	NC_010807.alt3	0.002518	0.003366	0.546835	0.006156	4	1.608483
9	0	NC_010807.alt3	NC_025457.alt2	0.002518	0.001153	0.528736	0.002181	1	0.621704
0	10	NC_025457.alt2	NC_010807.alt1	0.005496	0.006826	0.558673	0.012219	8	1.653072
10	0	NC_010807.alt1	NC_025457.alt2	0.005496	0.003298	0.542373	0.006080	2	0.604934
0	11	NC_025457.alt2	NC_010807.ref	0.005496	0.006094	0.556980	0.010941	7	1.653072
11	0	NC_010807.ref	NC_025457.alt2	0.005496	0.004509	0.546875	0.008244	3	0.604934
1	2	NC_005091.alt2	NC_005091.alt1	0.931367	0.929776	0.938394	0.990816	124	1.108624
2	1	NC_005091.alt1	NC_005091.alt2	0.931367	0.933130	0.935377	0.997598	118	0.902019
1	3	NC_005091.alt2	NC_005091.ref	0.964573	0.965822	0.966809	0.998980	53	1.108624
3	1	NC_005091.ref	NC_005091.alt2	0.964573	0.963189	0.963239	0.999948	55	0.902019
1	4	NC_005091.alt2	NC_002486.alt	0.001143	0.001962	0.498008	0.003941	3	1.395740
4	1	NC_002486.alt	NC_005091.alt2	0.001143	0	0	0	0	0.716466
1	5	NC_005091.alt2	NC_002486.ref	0.001143	0.001962	0.498008	0.003941	3	1.395740
5	1	NC_002486.ref	NC_005091.alt2	0.001143	0	0	0	0	0.716466
1	6	NC_005091.alt2	NC_025457.ref	0.000921	0.000738	0.580247	0.001272	1	1.493318
6	1	NC_025457.ref	NC_005091.alt2	0.000921	0.001196	0.637500	0.001876	1	0.669650
1	7	NC_005091.alt2	NC_025457.alt1	0.001947	0.001523	0.567251	0.002685	2	1.551064
7	1	NC_025457.alt1	NC_005091.alt2	0.001947	0.002606	0.597765	0.004359	2	0.644719
1	8	NC_005091.alt2	NC_010807.alt2	0.003242	0.003846	0.573770	0.006704	4	1.570608
8	1	NC_010807.alt2	NC_005091.alt2	0.003242	0.002293	0.494681	0.004636	2	0.636696
1	9	NC_005091.alt2	NC_010807.alt3	0.004692	0.005385	0.575503	0.009357	6	1.596751
9	1	NC_010807.alt3	NC_005091.alt2	0.004692	0.003585	0.533582	0.006718	3	0.626272
1	10	NC_005091.alt2	NC_010807.alt1	0.003180	0.003658	0.529545	0.006908	4	1.641015
10	1	NC_010807.alt1	NC_005091.alt2	0.003180	0.002396	0.494681	0.004843	2	0.609379
1	11	NC_005091.alt2	NC_010807.ref	0.003122	0.002779	0.556604	0.004992	3	1.641015
11	1	NC_010807.ref	NC_005091.alt2	0.003122	0.003684	0.533582	0.006905	3	0.609379
2	3	NC_005091.alt1	NC_005091.ref	0.968689	0.968689	0.970090	0.998555	69	1.000000
3	2	NC_005091.ref	NC_005091.alt1	0.968689	0.968689	0.970276	0.998364	69	1.000000
2	4	NC_005091.alt1	NC_002486.alt	0.000427	0	0	0	0	1.258984
